Código;Nombre;Estado;Organismo;Unidad de compra;Región;Comuna;Publicada;Cierra;Días para cierre;Monto estimado;Moneda;Tipo;Categorías;Qué piden;Visita a terreno;Entrega antecedentes;Duración contrato;Renovable;Prohibiciones;Contraparte;Descripción;Bases
1456835-1-LP26;SERVICIO DE ARRIENDO DE SOFTWARE DE GDP Y REMUNERA;Publicada;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DEL LITORAL;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DEL LITORAL;Región de Valparaíso ;;18-08-2026 23:36;08-09-2026 16:00;6;;CLP;LP;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Software de gestión de recursos humanos;;;24 meses;No;No se permitirá la subcontratación de los servicios objeto del presente contrato.-;Maria Fernanda Gonzalez;Adquirir servicio de arriendo de software de remuneraciones y gestión de personas P01 y P02, con el objeto de velar por el correcto pago de remuneraciones y llevar adecuadamente la administración de los funcionarios y funcionarias nivel central, docentes y asistentes de la educación del Slep Del Litoral.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1456835-1-LP26
520149-35-L126;SERVICIO DE INSTALACIÓN, TRASLADO Y REPARACIÓN DE PUNTOS DE DATOS, PARA LOS EDIFICIOS JOSÉ MIGUEL CARRERA Y SEDE DE LA ACADEMIA DIPLOMÁTICA BAJO LA MODALIDAD DE CONTRATO DE SUMINISTRO.;Publicada;SUBSECRETARIA DE RELACIONES EXTERIORES;DICOMPRAS;Región Metropolitana de Santiago;Santiago;31-08-2026 17:31;08-09-2026 16:00;6;5000000.0;CLP;L1;Tecnologías de la información, telecomunicaciones y radiodifusión / Componentes para tecnología de la información, difusión o telecomunicaciones / Subconjuntos para dispositivos electrónicos;1 Unidad · Conjuntos de cableado;;;;No;;;SERVICIO DE INSTALACIÓN, TRASLADO Y REPARACIÓN DE PUNTOS DE DATOS, PARA LOS EDIFICIOS JOSÉ MIGUEL CARRERA Y SEDE DE LA ACADEMIA DIPLOMÁTICA BAJO LA MODALIDAD DE CONTRATO DE SUMINISTRO.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=520149-35-L126
2793-121-LE26;LICENCIAS DE SOFTWARE;Publicada;Municipalidad de Huechuraba;Municipalidad de Huechuraba;Región Metropolitana de Santiago;Huechuraba;31-08-2026 16:37;09-09-2026 09:00;7;;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Software de gestión de licencias;;;;No;;ASESORIA JURIDICA;LA MUNICIPALIDAD DE HUECHURABA REQUIERE LA ADQUISICIÓN DE LICENCIAS DE SOFTWARE LECTOR, MODIFICADOR Y CREADOR DE DOCUMENTOS PDF, SOLICITADA POR EL DEPARTAMENTO DE INFORMATICA, SEGÚN LO INDICADO EN DOCUMENTACIÓN ADJUNTA.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2793-121-LE26
1978-85-LE26;Soporte Acronis Backup Cloud y Acronis Storage;Publicada;SERVICIO DE SALUD DEL MAULE;Servicio de Salud del Maule;Región del Maule ;Maule;26-08-2026 16:03;09-09-2026 11:07;7;;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;36 Mes · Software de sistema experto;;;36 meses;No;;Hector Bastidas V;El propósito general de la contratación es asegurar de manera continua la disponibilidad, integridad y resguardo de la información institucional, constituyendo una herramienta estratégica e indispensable para la correcta operación y seguridad de las plataformas tecnológicas administradas por el Departamento TIC;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1978-85-LE26
742475-4-LE26;Adquisición de equipos informáticos para el programa Oficina Local de la Niñez;Publicada;I MUNICIPALIDAD DE VILLA ALEMANA;ABASTECIMIENTO PROGRAMAS;Región de Valparaíso ;Villa Alemana;27-08-2026 13:21;09-09-2026 12:00;7;7167631.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;1 Unidad · Notebook, laptop o computador portátil excepto Tablet PC;;;;No;;ALAN RAAD;"Adquisición de equipamiento informático por la necesidad de fortalecer la capacidad operativa, técnica y administrativa de la Oficina Local de la Niñez, asegurando la disponibilidad de herramientas tecnológicas adecuadas para el desarrollo de sus funciones institucionales.
Estos equipos permitirán la gestión, registro, análisis y seguimiento de casos, la elaboración de informes técnicos, el acceso a plataformas institucionales, la coordinación intersectorial y la ejecución de actividades de promoción y protección de derechos dirigidas a niños, niñas, adolescentes y sus familias.
Los equipos informáticos facilitarán el trabajo en terreno, las reuniones con redes comunales y las instancias de coordinación interna y externa, favoreciendo la movilidad y la continuidad operativa del equipo profesional.
La incorporación de este equipamiento contribuirá al fortalecimiento de la gestión institucional y a la mejora de la calidad, oportunidad y continuidad de las prestaciones orientadas a la promoción y protección integral de los derechos de niños, niñas y adolescentes.
La adquisición considera, además, equipamientos indispensables para el correcto funcionamiento de los puestos de trabaj";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=742475-4-LE26
3890-185-L126;ADQ EQUIPOS INFORMATICOS CENTRO DE LAS MUJERES;Publicada;I MUNICIPALIDAD DE FREIRE;MUNICIPALIDAD DE FREIRE;Región de la Araucanía ;Freire;01-09-2026 11:36;09-09-2026 13:02;7;1195000.0;CLP;L1;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;1 Global · Notebook, laptop o computador portátil excepto Tablet PC;;;;No;;CRISTIAN RIOS ARRIAGADA;ADQUISICION DE EQUIPOS INFORMATICOS PARA PROGRAMA CENTRO DE LAS MUJERES FREIRE;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3890-185-L126
1469-175-L126;TABLERO PARA BOMBA SUMERGIBLE, CAMPUS TALCA, UNIVERSIDAD DE TALCA.;Publicada;UNIVERSIDAD DE TALCA;Universidad de Talca;Región del Maule ;Talca;26-08-2026 12:12;09-09-2026 15:00;7;1800000.0;CLP;L1;Equipamiento para el acondicionamiento, distribución y filtrado de fluidos / Bombas y compresores industriales / Bombas;1 Unidad · Bombas sumergibles;;;;No;;;La presente contratación considera la ejecución de obras menores en jardín botánico, para instalar un tablero eléctrico nuevo, el cual debe cumplir con la normativa eléctrica chilena y protecciones para la bomba.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1469-175-L126
1562-52-LE26;ADQUISICIÓN RENOVACIÓN PLATAFORMA ROCSCIENCE;Publicada;SERVICIO NACIONAL DE GEOLOGIA Y MINERIA;Servicio Nacional de Geología y Minería;Región Metropolitana de Santiago;Providencia;28-08-2026 11:24;09-09-2026 15:00;7;30754000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Software de gestión de licencias;;;12 meses;No;;Hugo Neira;"El objetivo de la contratación es mantener la continuidad operativa y disponibilidad de las herramientas especializadas Rocscience utilizadas por SERNAGEOMIN, mediante la renovación de las respectivas licencias de software.
La renovación permitirá disponer de herramientas especializadas para el desarrollo de análisis geotécnicos y geomecánicos relacionados con materias de competencia institucional, incluyendo estabilidad de taludes, depósitos de relaves, macizos rocosos, caída de rocas, sostenimiento y modelación numérica.
Asimismo, se busca asegurar que las licencias cuenten con los servicios de mantenimiento asociados durante su período de vigencia.";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1562-52-LE26
1057390-48-LP26;CONV. RADIOCOMUNICACIÓN DIGITAL SAMU;Publicada;SERVICIO DE SALUD ARAUCANIA NORTE;Bienes y Servicios;Región de la Araucanía ;;20-08-2026 10:43;09-09-2026 15:30;7;180329688.0;CLP;LP;Servicios básicos y de información pública / Telecomunicaciones / Servicios de radio;1 Mes · Sistemas de radio a pequeña escala;;;24 meses;No;;Gastón Lorca Troncoso;La presente licitación tiene como objetivo, contratar un servicio mensual de comunicaciones digitales de voz para SAMU Malleco, según Especificaciones Técnicas (Anexo 4).;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057390-48-LP26
1605-36-LR26;LR-4252 Servicio de Red Datos WAN;Publicada;SERVICIO DE IMPUESTOS INTERNOS DIRECCION;SII Dirección Nacional;Región Metropolitana de Santiago;Santiago;22-06-2026 15:52;09-09-2026 16:00;7;232851.0;CLF;LR;Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Servicios para internet;72 Mes · Proveedores de servicio de Internet (ISP) · 72 Mes · Proveedores de servicio de Internet (ISP);;;72 meses;No;;Luis Venegas;El objetivo de la presente licitación es disponer de la prestación de servicios de red de transmisión de datos y voz con cobertura en todo el territorio nacional, y de servicios de red adicionales con facilidades de interconexión con otras redes yo sistemas análogos y digitales, en el Servicio de Impuestos Internos.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1605-36-LR26
1057501-488-LE26;ARRIENDO MODULOS BODEGA PARA INFORMÁTICA HSR;Publicada;COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO;COMPLEJO ASISTENCIAL DR. SOTERO DEL RIO;Región Metropolitana de Santiago;Puente Alto;27-08-2026 12:22;10-09-2026 12:00;8;;CLP;LE;Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras;2 Unidad · Construcción de obras civiles;;;;No;16.- PROHIBICIÓN DE CESIÓN;Cristian Diaz;El Hospital Dr. Sótero del Río en adelante HSR, requiere contratar a una persona natural o jurídica para el “ARRIENDO DE DOS 02 MODULOS BODEGAS PARA LA UNIDAD DE IN-FORMATICA HSR.”, en dependencias del Hospital Dr. Sótero del Rio, ubicado en Av. Concha y Toro 3459 comuna de Puente Alto, de acuerdo a los requerimientos señalados en las Bases Técnicas que se adjuntan, siendo responsabilidad de la Empresa Contratista adjudicada la man-tención, instalación y habilitación de los módulos en las condiciones estipuladas en las Bases de licitación, administrativas y técnicas;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057501-488-LE26
1020-38-LP26;Adquisición de Plataforma Next Generation Firewall;Publicada;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;MOP Subsecretaría ;Región Metropolitana de Santiago;;18-08-2026 10:37;10-09-2026 15:00;8;240000000.0;CLP;LP;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos, plataformas y accesorios de redes multimedia, voz y datos / Equipos de seguridad de red, Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de administración de redes;2 Unidad · Equipo de seguridad de red de firewall · 1 Unidad · Software de vigilancia de redes;;;16 meses;No;Conforme al punto 10.5 de las Bases Administrativas, el oferente adjudicado no podrá subcontratar los servicios derivados de la ejecución del Contrato;Francisco Borques;Se requiere adquirir una solución consistente en dos 2 Firewall de Seguridad en alta disponibilidad, con la capacidad de crear instancias virtuales de NGFW, que deben proveer funcionalidades de IPS, filtrado de URL, control de identidad, control de QoS, protección de malware y seguridad DNS. Lo anterior administrado a través de una sola consola, además de incluir soporte 7X24 por 1 año de misión critica. Esta solución debe incluir el proceso de migración de firewall de datacenter.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1020-38-LP26
1020-45-LE26;Renovación Licencias Software Solarwinds Dameware;Publicada;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;MOP Subsecretaría ;Región Metropolitana de Santiago;;28-08-2026 12:43;10-09-2026 15:00;8;26000000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;60 Unidad · Software de gestión de licencias;;;;No;No permite subcontratación Conforme a lo señalado en el punto 10.5 de las Bases Administrativas, adjuntas.;Juan Carlos Poblete;El objetivo es adquirir la Renovación Anual de la Suscripción para 60 Licencias del software SolarWinds Dameware Remote Everywhere, lo que permitirá gestionar el soporte, monitoreo de redes, diagnosticar y resolver rápidamente problemas en los equipos computacionales.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1020-45-LE26
1057494-50-LR26;SOFTWARE PARA LA GESTIÓN DE LA UNIDAD DE LABORATOR;Publicada;SERVICIO DE SALUD SUR HOSPITAL EXEQUIEL;Bienes y Servicios;Región Metropolitana de Santiago;San Miguel;11-08-2026 12:31;10-09-2026 16:00;8;;CLP;LR;Equipamiento y suministros médicos / Productos para imágenes y de medicina nuclear / Artículos para archivar información e imágenes radiológicas;1 Unidad · Software de sistemas de archivado de película radiográfica médica;;;60 meses;No;;Damaris Medinelli Tapia;ARRIENDO DE SOFTWARE PARA LA GESTIÓN DE LA UNIDAD DE LABORATORIO CLÍNICO DEL HOSPITAL DR. EXEQUIEL GONZÁLEZ CORTÉS;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057494-50-LR26
5586-128-LE26;BR CONTRATACIÓN DE PLATAFORMA TECNOLÓGICA TIPO SAAS DE GESTIÓN DIGITAL;Publicada;UNIVERSIDAD DE LA FRONTERA;Universidad de la Frontera;Región de la Araucanía ;Temuco;31-08-2026 16:45;11-09-2026 10:00;9;13000000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de administración de redes;1 Global · Software de administración;;;18 meses;No;"Lo anterior de acuerdo a lo
indicado en el Art. 128 del Reglamento de Compras públicas.";FERNANDO GONZALEZ;CONTRATACIÓN DE PLATAFORMA TECNOLÓGICA TIPO SAAS DE GESTIÓN DIGITAL, DE ACUERDO A REQUERIMIENTO ADJUNTO;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5586-128-LE26
2434-19-LE26;SERV. TELEFONÍA MOVIL DATOS BANDA ANCHA E IP;Publicada;I MUNICIPALIDAD ESTACION CENTRAL;SECRETARIA COMUNAL DE PLANIFICACION;Región Metropolitana de Santiago;Estación Central;01-09-2026 10:27;11-09-2026 14:00;9;;CLP;LE;Servicios básicos y de información pública / Telecomunicaciones / Comunicaciones móviles;1 Global · Servicios de telefonía móvil;;;24 meses;No;;Felipe Ramos;"1.	Servicio de Telefonía IP:
La municipalidad requiere contratar el servicio de telefonía IP, considerando la habilitación y provisión de 59 anexos telefónicos, distribuidos entre el Edificio Consistorial y las distintas dependencias municipales.

 A su vez el servicio debe considerar la conectividad entre dependencias municipales, soporte técnico, plataforma de administración y continuidad operacional del servicio. La solución deberá operar sobre la infraestructura de conectividad a Internet disponible en la Municipalidad. 

Al término de la vigencia contractual, y una vez cumplidas todas las obligaciones asociadas al contrato, la totalidad de los equipos, licencias perpetuas, accesorios y demás bienes suministrados en el marco de la prestación pasarán a ser de propiedad de la Municipalidad, libres de gravámenes, restricciones de uso o costos adicionales, debiendo el proveedor efectuar todas las gestiones necesarias para formalizar dicha transferencia.

2.	Servicios de telefonía móvil de voz, datos móviles y Banda Ancha Móvil BAM:
La Municipalidad requiere la provisión de un total de 175 líneas móviles bajo modalidad solo chip, sin suministro de equipos telefónicos.

Est";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2434-19-LE26
3000-30-LE26;Toner y Tintas INFORMÁTICA;Publicada;I MUNICIPALIDAD DE MONTEPATRIA;Dirección  Adm. y  Finanzas;Región de Coquimbo ;Monte Patria;01-09-2026 09:20;11-09-2026 15:00;9;12000000.0;CLP;LE;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Suministros para impresora, fax y fotocopiadora;20 Unidad · Tóner · 4 Unidad · Tóner · 6 Unidad · Tóner · y 4 más;;;;No;;Héctor Salinas Rojas;Llámese a participar en la propuesta Pública para la provisión de Tóners y Tintas, para Impresoras de la Municipalidad de Monte Patria.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3000-30-LE26
3671-58-LE26;“HABILITACIÓN DE NUEVAS DEPENDENCIAS DE SEGURIDAD MUNICIPAL E INFORMÁTICA DE LA MUNICIPALIDAD DE CHILLÁN VIEJO”;Publicada;ILUSTRE MUNICIPALIDAD DE CHILLAN VIEJO;Secplan;Región del Ñuble;Chillán Viejo;27-08-2026 13:45;11-09-2026 15:00;9;;CLP;LE;Servicios de construcción y mantenimiento / Construcción de edificios en general / Construcción de obras civiles y infraestructuras;1 Unidad · Construcción de obras civiles;;;60 días;No;;MARIA PAZ VASQUEZ RAMIREZ;La presente licitación pública tiene como objeto la contratación de un servicio especializado de adquisición, instalación, cambio de equipamiento tecnológico y servicio de traslado de  infraestructura tecnológica y la habilitación de su nueva central de monitoreo. El proyecto debe garantizar la continuidad operativa y la integridad del equipamiento crítico.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=3671-58-LE26
1057509-250-LP26;CONVENIO COMPRA DE SERVICIOS DE MANTENCIÓN DE AUTOMATIZACIÓN Y CONTROL vps;Publicada;HOSPITAL CLINICO HERMINDA MARTIN;Bienes y Servicios;Región del Ñuble;Chillán;01-09-2026 12:13;11-09-2026 15:00;9;;CLP;LP;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Contratación de personal;1 Unidad · Profesionales;;;12 meses;No;Por la naturaleza de los servicios licitados.;...;La contratación tiene por objeto disponer de personal técnico especializado que permita ejecutar labores de inspección, monitoreo, mantención preventiva y correctiva, atención de fallas y demás actividades asociadas a los sistemas de automatización y control centralizado, contribuyendo a asegurar la continuidad operativa, la seguridad y el adecuado funcionamiento de las instalaciones hospitalarias, de acuerdo con los requerimientos técnicos establecidos en las presentes Bases de Licitación.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057509-250-LP26
1305552-6-LE26;SOFTWARE DE INVENTARIO CARGA Y NORMALIZACIÓN;Publicada;SERVICIO LOCAL DE EDUCACIÓN PÚBLICA TAMARUGAL;COMPRAS Y LICITACIONES;Región de Tarapacá  ;Pozo Almonte;01-09-2026 13:36;11-09-2026 15:01;9;50000000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Programas de gestión de inventario;;;24 meses;No;;ALVARO CARVALLO;CONTRATACIÓN DE SOFTWARE DE INVENTARIO, CARGA Y NORMALIZACIÓN DE INFORMACIÓN PATRIMONIAL, E IMPLEMENTACIÓN DE PLATAFORMA DE GESTIÓN DE ACTIVOS FIJOS Y BIENES FUNGIBLES PARA EL SERVICIO LOCAL DE EDUCACIÓN PÚBLICA DEL TAMARUGAL,;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1305552-6-LE26
425-39-LR26;ADQUISICIÓN Y RENOVACIÓN DE LICENCIAS DE SOFTWARE PARA EL PODER JUDICIAL;Publicada;CORP ADMINISTRATIVA DEL PODER JUDICIAL;Servicios;Región Metropolitana de Santiago;Santiago Centro;29-07-2026 12:03;11-09-2026 16:00;9;;USD;LR;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;12 Unidad · Software de gestión de licencias · 4480 Unidad · Software de gestión de licencias · 30 Unidad · Software de gestión de licencias · y 30 más;;;;No;No se permite subcontratación.;Lisette Ávila;UR(1804) ADQUISICIÓN Y RENOVACIÓN DE LICENCIAS DE SOFTWARE PARA EL PODER JUDICIAL;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=425-39-LR26
4778-14-LP26;SERV. ADMINISTRADO CONTACT CENTER OMNICANAL CON IA;Publicada;SERVICIO NACIONAL DE SALUD HOSPITAL DE C;Compras de Insumos y Servicios Generales;Región Aysén del General Carlos Ibáñez del Campo;Coyhaique;20-08-2026 16:46;11-09-2026 16:00;9;;CLP;LP;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software para trabajo en redes;24 Unidad · Software para centrales de comunicación digital;;;24 meses;No;Ver Bases Administrativas Especiales, punto 3.;Carolina Pérez Alfaro;Servicio Administrado de Contact Center Omnicanal con Inteligencia Artificial para la Gestión Integral de la Contactabilidad de Usuarios del Hospital Regional Coyhaique.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=4778-14-LP26
2107-142-LE26;ARRIENDO DE TOTEMS AUTOADMINISTRADOS PARA HSC;Publicada;SERVICIO DE SALUD HOSPITAL DE SANTA CRUZ;Hospital de Santa Cruz;Región del Libertador General Bernardo O´Higgins;Santa Cruz;31-08-2026 08:17;11-09-2026 17:56;9;;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;36 Mes · Servidores de gama alta;;;36 meses;No;;Nicolás Salgado Marín;"ARRIENDO DE TOTEMS AUTOADMINISTRADOS PARA EL HOSPITAL DE SANTA CRUZ
El presente proceso de licitación pública tiene por objeto la contratación del Servicio de Arriendo de tres (3) Tótems de Marcaje mediante tecnología NFC/RFID, destinados a la implementación de una solución tecnológica para la identificación y registro de usuarios del Hospital de Santa Cruz.";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2107-142-LE26
1607-10-LR26;servicio hospedaje soporte mantención plataforma;Publicada;SUPERINTENDENCIA DE SEGURIDAD SOCIAL;Superintendencia de Seguridad Social;Región Metropolitana de Santiago;Santiago Centro;14-08-2026 15:05;14-09-2026 15:00;12;540000000.0;CLP;LR;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Contratación de personal;1 Unidad · Desarrolladores de software;;;;No;El oferente adjudicado no podrá ceder ni transferir en forma alguna, total ni parcialmente, los derechos y obligaciones que nacen del desarrollo de la presente licitación, y en especial los que se establecerán en el contrato definitivo;Melissa Pino;contratación del servicio hospedaje, soporte, mantención y actualización de la Plataforma Integrada de Asignación Familiar, Subsidio Único Familiar y Regímenes relacionados PIAS, de la Superintendencia de Seguridad Social.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1607-10-LR26
2413-20-LE26;SISTEMA DE GESTIÓN DOCUMENTAL;Publicada;I MUNICIPALIDAD DE LO PRADO;SECRETARIA PLANIFICACION COMUNAL;Región Metropolitana de Santiago;Lo Prado;28-08-2026 18:40;14-09-2026 15:00;12;;CLF;LE;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Contratación de personal;1 Mes · Desarrolladores de software;;;;No;;Paola Moncada Venegas;"El propósito de esta contratación pública consiste en la provisión de un Sistema de Gestión Documental Integral bajo la modalidad de software como servicio (SaaS) con licenciamiento ilimitado para la Municipalidad de Lo Prado.

La solución tecnológica deberá posibilitar la tramitación electrónica completa de actas, decretos, resoluciones, oficios y demás actos administrativos, asegurando el ciclo de vida documental que comprende el ingreso, confección, visación jurídica y técnica, suscripción mediante firma electrónica avanzada y su posterior archivo digital seguro.

Asimismo, el sistema debe contemplar la automatización de flujos de trabajo (workflows) parametrizables en función de la estructura orgánica municipal, garantizando la inmutabilidad de los registros y el almacenamiento cronológico completo de las trazas de auditoría para cada documento gestionado.";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2413-20-LE26
906973-8-LP26;SISTEMAS INFORMÁTICOS DE GESTIÓN MUNICIPAL;Publicada;I MUNICIPALIDAD DE VICHUQUEN;SECPLAC;Región del Maule ;Vichuquén;25-08-2026 13:08;14-09-2026 15:00;12;;CLP;LP;Organizaciones y consultorías políticas, demográficas, económicas, sociales y de administración pública / Administración y finanzas públicas / Finanzas públicas;36 Mes · Servicios contables gubernamentales;;;;No;;Ariel Munoz Vasquez;Contratar el suministro integral de sistemas informáticos de gestión municipal, incluyendo Contabilidad Gubernamental y los demás módulos administrativos, financieros, de ingresos municipales, recursos humanos, remuneraciones, asistencia y atención de usuarios requeridos por la Municipalidad de Vichuquén, junto con infraestructura local, servidor, UPS, licencias, implementación, migración, capacitación, soporte, mantención y actualizaciones normativas.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=906973-8-LP26
1057548-21-LE26;Convenio Suministro de Servicio de Fotocopiado Impresion y Digitalizacion con Entrega de Equipos;Publicada;SERVICIO DE SALUD VALDIVIA HOSPITAL LA U;Bienes y Servicios;Región de Los Ríos;La Unión;01-09-2026 10:14;14-09-2026 15:01;12;;CLP;LE;Servicios editoriales, de diseño, publicidad, gráficos y artistas / Servicios de impresión y reproducción / Impresión;1 Unidad · Impresión digital;;;24 meses;No;;Alvaro jimenez neumann;El Hospital La Unión invita a personas naturales o jurídicas que cumplan con los requisitos establecidos en las presentes Bases a ofertar en su licitación pública “CONVENIO SUMINISTRO DE SERVICIO DE FOTOCOPIADO, IMPRESIÓN Y DIGITALIZACION CON ENTREGA DE EQUIPOS PARA EL HOSPITAL DE LA UNION” segundo llamado. La presente licitación pública es de tipo simple.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057548-21-LE26
29-73-LE26;ALR - ADQ. REPUESTOS Y TABLERO ELECT.   GPO. ELECT;Publicada;FUERZA AEREA DE CHILE COMANDO LOGISTICO;Comando Logístico;Región Metropolitana de Santiago;El Bosque;31-08-2026 15:07;14-09-2026 15:01;12;;USD;LE;Equipamiento para el acondicionamiento, distribución y filtrado de fluidos / Filtros y purificación industrial / Filtros, Maquinaria para generación y distribución de energía / Generación de energía / Equipo para control de producción de energía, Maquinaria para generación y distribución de energía / Transmisión de energía eléctrica, mecánica y cinética / Baterías, pilas y accesorios;1 Unidad · Paneles de control eléctrico para generadores · 2 Unidad · Filtros de aceite · 2 Unidad · Filtros de combustible · y 9 más;;;;No;;SERGIO ROMEROCALQUIN;ADQUISICIÓN DE REPUESTOS Y TABLERO CON INSTALACIÓN PARA GRUPOS ELECTRÓGENOS DE LA FUERZA AÉREA DE CHILE;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=29-73-LE26
858-64-LE26;Mantención sitio web oficial IND por 24 meses;Publicada;INSTITUTO NACIONAL DE DEPORTES DE CHILE;Nivel Central;Región Metropolitana de Santiago;Providencia;01-09-2026 18:26;14-09-2026 15:01;12;50000000.0;CLP;LE;Servicios basados en ingeniería, ciencias sociales y tecnología de la información / Servicios informáticos / Servicios para internet;1 Global · Servicios de diseño de sitio Web;;;24 meses;No;;Carlos Marchant;Servicio de Actualización, Mantención sitio web oficial del IND y EMAIL Marketing por 24 meses.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=858-64-LE26
