Código;Nombre;Estado;Organismo;Unidad de compra;Región;Comuna;Publicada;Cierra;Días para cierre;Monto estimado;Moneda;Tipo;Categorías;Qué piden;Visita a terreno;Entrega antecedentes;Duración contrato;Renovable;Prohibiciones;Contraparte;Descripción;Bases
2658-284-L126;Suscripción anual a Plataforma de Inteligencia Artificial avanzada;Publicada;I MUNICIPALIDAD DE ANCUD;Municipalidad de Ancud;Región Metropolitana de Santiago;Las Condes;28-08-2026 14:30;07-09-2026 16:58;5;1500000.0;CLP;L1;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de consultas y gestión de datos;5 Unidad · Software de extracción de datos;;;;No;;;Lo que seá utilizado como herramientas de apoyo para la optimización de labores tecnicas y administrativas.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2658-284-L126
598-16-LE26;SERVICIO DE CAPACITACIÓN EN PROTECCIÓN DE DATOS PERSONALES GOBERNANZA DE DATOS Y CUMPLIMIENTO NORMATIVO;Publicada;DIRECCION PREVISION DE CARABINEROS DE CHILE;Unidad de Abastecimiento DIPRECA;Región Metropolitana de Santiago;Santiago;25-08-2026 11:07;08-09-2026 09:00;6;;CLP;LE;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Consultorías para el desarrollo de recursos humanos;1 Unidad · Formación, capacitación y entrenamiento de personal;;;;No;;Karen Ortiz;"La contratación contempla la planificación, coordinación, ejecución y
evaluación de las actividades formativas, así como la entrega de los
recursos técnicos y académicos necesarios para su adecuado desarrollo.
Para efectos de la presente licitación, la contratación comprende una única
línea de servicio compuesta por dos actividades formativas
complementarias, denominadas “Protección de Datos Personales y
Gobernanza de Datos” y “Gestión Institucional y Tratamiento de Datos
Personales en el Sector Público: Principios, Derechos y Cumplimiento
Normativo”, las cuales deberán ser ofertadas y ejecutadas íntegramente
por un mismo proveedor, de conformidad con las especificaciones técnicas
establecidas en las presentes Bases. Las actividades de capacitación
deberán ejecutarse durante el año 2026, conforme a las condiciones,
plazos y requisitos definidos por DIPRECA.
La presente contratación tiene por finalidad fortalecer las capacidades
institucionales para la adecuada implementación del marco normativo
sobre protección de datos personales, promoviendo el cumplimiento de las
obligaciones legales y la gestión responsable de la información en el
ejercicio de la función públic";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=598-16-LE26
610-16-LP26;Adquisición de productos y servicios destinados a la “Implementación de software para nueva Plataforma de Virtualización”.;Publicada;Comisión Nacional de Energía;Comisión Nacional de Energía;Región Metropolitana de Santiago;Santiago Centro;19-08-2026 11:26;08-09-2026 10:00;6;124000000.0;CLP;LP;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Paquetes de software para oficinas;;;425 días;No;De acuerdo a lo establecido en bases de licitación.;Jaime García Sepúlveda;La presente iniciativa tiene por objeto adquirir licenciamiento para implementar un Nuevo Clúster de Infraestructura Virtual de Servidores. La nueva solución deberá garantizar, como estándar mínimo, la equivalencia funcional y técnica de la infraestructura actual, incorporando además las capacidades operativas y de seguridad que demande el estado del arte y la evolución tecnológica reciente.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=610-16-LP26
2448-122-L126;ADQ. BOLSA DE CREDITOS DE CONSUMO EN NUBE PUBLICA;Publicada;I MUNICIPALIDAD DE COQUIMBO;Departamento de Salud;Región de Coquimbo ;Coquimbo;31-08-2026 15:22;08-09-2026 15:00;6;3000000.0;CLP;L1;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de consultas y gestión de datos;1 Año · Software del sistema de administración de bases de datos;;;;No;;;"El objetivo de esta contratación es adquirir una bolsa de créditos de consumo en nube pública para fortalecer la resiliencia institucional mediante un Plan de Recuperación ante Desastres (DRP). 
De acuerdo a nuestra estrategia DevSecOps, esta infraestructura externa nos permitirá garantizar el Uptime de servicios críticos (CENDRIS, APSGO) frente a eventuales caídas de nuestro Datacenter local. Adicionalmente, posibilitará el almacenamiento seguro de respaldos fuera del sitio y brindará un entor";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=2448-122-L126
5586-127-LE26;BC SISTEMA DE ADQUISICIÓN DE DATOS INSTRUMENTACIÓN Y MONITOREO DE ENSAYOS EXPERIMENTALES DE SIMULACIÓN SÍSMICA EN MUROS;Publicada;UNIVERSIDAD DE LA FRONTERA;Universidad de la Frontera;Región de la Araucanía ;Temuco;26-08-2026 10:54;08-09-2026 15:01;6;;CLP;LE;Equipamiento para laboratorios / Instrumentos de medida y experimentación / Instrumentos sismológicos;1 Global · Módulos de alarma sísmica;;;;No;;Viviana Letelier González;"SISTEMA DE ADQUISICIÓN
DE DATOS INSTRUMENTACIÓN Y MONITOREO DE ENSAYOS EXPERIMENTALES DE
SIMULACIÓN SÍSMICA EN MUROS";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=5586-127-LE26
1754-39-LE26;EQUIPOS E INSUMOS INFORMATICOS SEGUNDO LLAMADO;Publicada;Departamento de Salud Parral;Departamento de Salud Parral;Región del Maule ;Parral;01-09-2026 12:11;08-09-2026 15:01;6;28000000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos informáticos y accesorios / Computadores;1 Kit · Computadores personales;;;12 meses;No;;MARIO GAJARDO NAVARRETE;El Departamento de Salud de la Ilustre Municipalidad de Parral requiere licitar la adquisición de equipos e insumos informáticos, con el propósito de garantizar el adecuado funcionamiento del Departamento de Salud y de los distintos establecimientos de salud de la comuna. Lo anterior tiene como finalidad asegurar la continuidad y calidad de las prestaciones otorgadas a la comunidad.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1754-39-LE26
1016-8-LE26;Licencias de inteligencia artificial generativa tipo Claude Team o similar para la Dirección de Planeamiento;Publicada;MINISTERIO DE OBRAS PUBLICAS DIREC CION GRAL DE OO PP DCYF;Dirección de Planeamiento - MOP;Región Metropolitana de Santiago;Santiago Centro;28-08-2026 13:46;08-09-2026 15:30;6;19980000.0;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de consultas y gestión de datos, Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Software de sistema experto · 1 Unidad · Software de clasificación o categorización;;;;No;Se prohíbe la subcontratación ya que se adjudica de acuerdo a la oferta del proveedor y sus características especiales.;Carolina Quintana;La Dirección de Planeamiento requiere adquirir licencias de inteligencia artificial generativa tipo Claude Team, en modalidad Standard y Premium, por un período de 12 meses, con el objeto de apoyar procesos institucionales de análisis documental, revisión de consistencia de información, elaboración de informes, generación de insumos de gestión, apoyo técnico y mejora de la productividad institucional.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1016-8-LE26
542429-7-LE26;“Provisión de licencias de software;Publicada;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;UNIDAD ADMINISTRADORA DE LOS TRIBUNALES TRIBUTARIOS Y ADUANEROS;Región Metropolitana de Santiago;Arica;28-08-2026 15:15;08-09-2026 15:30;6;52270.0;USD;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Software de gestión de licencias · 1 Unidad · Software de gestión de licencias · 1 Unidad · Software de gestión de licencias · y 1 más;;;36 meses;No;;Karen Brito;La Unidad Administradora requiere la provisión de licencias de software con el fin de asegurar la continuidad operativa de la plataforma tecnológica utilizada por los Tribunales que gestiona;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=542429-7-LE26
1588-28-LE26;Renovación Plataforma Jira Service SAAS y Soporte;Publicada;SERVICIO DE EVALUACION AMBIENTAL;Servicio de Evaluación Ambiental - Sea;Región Metropolitana de Santiago;Santiago;02-09-2026 08:43;08-09-2026 15:30;6;;CLP;LE;Tecnologías de la información, telecomunicaciones y radiodifusión / Software / Software de gestión;1 Unidad · Software de gestión de licencias · 1 Unidad · Software de gestión de licencias;;;12 meses;No;;Paola Canales Alvarez;El Servicio de Evaluación Ambiental llama a licitación pública, para renovar el licenciamiento y el soporte del software Jira Service Management y Confluence para el Centro de Atención al Usuario, en conjunto con el componente para enviar mediciones a Google Analytics, y contar con un servicio de soporte especializado por un período de 12 meses.;https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1588-28-LE26
1057531-10-L126;Contratación de Convenio Prótesis Fijas con sistema digital CADCAM 2026-2027;Publicada;SERVICIO NACIONAL DE SALUD HOSPITAL DE RIO NEGRO;Bienes y Servicios;Región Metropolitana de Santiago;Santiago;31-08-2026 11:44;08-09-2026 16:00;6;7000000.0;CLP;L1;Equipamiento y suministros médicos / Equipos y suministros odontológicos / Suministros y equipos de odontología cosmética;15 Unidad no definida · Coronas o formas de coronas;;;;No;;;"Servicios de Convenio Prótesis Fijas con sistema digital CADCAM, para Beneficiarios del HRN para los años 2026-2027.
-Considerar en comodato de equipos complementarios como PC y escáner, compatible con sistema digital. 
-Completar anexos adjuntos y documentos
El valor a ingresar en el portal mercado público, debe ser el valor total ofertado en Anexo N°7 divido por la cantidad referencial, considerando que el monto total, no debe superar el monto permitido en licitación L1 (menor a 100 UTM), caso";https://www.mercadopublico.cl/Procurement/Modules/RFB/DetailsAcquisition.aspx?idlicitacion=1057531-10-L126
